;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Inquérito à Permanência de Hóspedes na Hotelaria e Outros Alojamentos: 
resultados globais incluindo AL (? 10 camas) e TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Survey on Guests Stays on Hotel Establishments and Other Accommodations: 
global results including AL (10 or more beds) and TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. Hóspedes não residentes nos estabelecimentos de alojamento turístico, por países de residência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. Non-resident guests in tourist accommodation establishments, by country of residence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Unidade/Unit: nº ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos e meses;Total;Reino Unido;Espanha;Alemanha;França;Países Baixos;EUA;Itália;Brasil;Polónia;Bélgica;Irlanda;Suíça;Dinamarca;Suécia;Áustria;Chéquia;Roménia;Outros;Year / month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;8.624.099;1.421.318;1.305.504;949.499;880.357;457.124;349.000;339.290;535.677;128.940;188.117;220.345;163.019;98.352;122.103;82.477;33.810;34.377;1.314.790;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Janeiro ;302.245;43.442;43.382;33.223;22.621;16.949;10.221;13.683;31.870;3.493;4.054;3.031;4.301;4.462;4.229;2.153;1.394;1.486;58.251;January ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fevereiro;363.163;56.033;54.362;48.107;29.161;23.151;11.150;12.254;27.104;4.374;5.739;4.463;6.265;7.111;6.874;3.757;1.148;1.088;61.022;February ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Março ;555.916;80.383;114.128;79.967;42.449;26.401;19.734;18.042;27.061;3.988;8.793;8.449;9.170;10.162;11.773;6.191;1.371;1.900;85.954;March ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abril ;702.168;118.230;77.883;87.164;79.710;33.314;30.614;29.316;39.280;9.681;17.667;16.594;15.100;9.613;13.576;9.387;2.489;2.462;110.088;April ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maio ;935.204;162.796;99.634;109.273;118.840;56.441;40.787;30.447;62.656;11.813;22.062;31.830;17.718;7.725;9.980;11.755;4.084;3.405;133.958;May ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Junho;902.565;171.419;103.526;93.156;91.503;53.389;45.276;31.013;58.361;14.632;20.743;34.562;15.491;7.402;8.823;8.281;4.442;3.383;137.163;June ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Julho ;1.009.618;170.666;165.098;89.051;91.138;66.269;38.833;36.861;58.001;21.060;31.850;30.732;22.612;14.549;12.452;9.266;4.373;4.410;142.397;July ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agosto ;1.142.259;159.870;260.789;91.240;160.213;58.997;29.799;74.720;44.907;18.952;24.136;27.346;17.125;8.724;8.000;8.856;3.339;6.136;139.110;August ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Setembro ;1.029.540;190.342;132.087;121.290;97.814;53.251;45.380;35.436;61.109;21.449;24.687;29.938;20.200;10.475;12.122;8.719;4.817;3.963;156.461;September ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outubro;864.525;161.094;97.349;110.525;73.757;38.367;42.202;25.293;64.098;10.442;14.978;25.158;20.625;9.080;15.530;7.477;3.425;2.923;142.202;October;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Novembro ;458.678;63.350;78.152;54.694;41.275;16.928;21.424;16.934;30.756;5.622;8.301;5.461;8.651;5.367;11.699;4.232;1.754;1.606;82.472;November ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dezembro;358.218;43.693;79.114;31.809;31.876;13.667;13.580;15.291;30.474;3.434;5.107;2.781;5.761;3.682;7.045;2.403;1.174;1.615;65.712;December;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;9.899.306;1.603.274;1.525.569;1.058.937;1.092.133;461.551;388.573;384.214;613.444;146.925;240.128;241.984;184.993;102.734;144.953;89.789;34.494;36.221;1.549.390;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Janeiro ;346.055;48.501;52.465;33.925;29.589;16.288;10.083;14.277;38.276;3.607;4.769;3.444;5.026;4.497;6.484;2.410;1.034;1.510;69.870;January ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fevereiro;408.967;64.859;67.585;53.660;36.094;22.624;11.539;13.882;23.922;4.894;5.870;4.219;7.097;7.167;9.164;4.483;1.435;1.377;69.096;February ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Março ;601.035;96.590;84.984;87.462;53.507;30.364;20.580;18.873;37.606;5.469;12.527;6.911;9.926;10.736;15.337;6.877;2.323;2.568;98.395;March ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abril ;885.938;137.492;154.183;103.856;93.050;37.816;29.849;29.276;59.780;8.413;21.767;20.179;18.450;10.628;15.883;10.255;2.679;2.679;129.703;April ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maio ;1.084.416;186.980;133.194;116.282;143.807;55.573;46.058;33.532;71.850;13.386;26.690;32.862;20.452;8.231;12.282;13.366;4.049;3.499;162.323;May ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Junho;1.023.724;202.298;120.086;109.819;112.132;50.791;48.189;32.694;49.015;19.242;28.374;37.440;18.935;7.426;10.558;9.797;4.322;3.887;158.719;June ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Julho ;1.122.759;180.483;188.294;87.484;112.555;61.176;46.008;45.213;54.829;24.074;38.822;33.697;24.846;13.657;14.523;10.538;4.904;4.852;176.804;July ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agosto ;1.304.431;179.488;298.705;102.993;196.037;56.393;36.380;80.952;55.231;21.561;29.296;30.972;19.356;8.772;8.887;8.725;3.159;5.045;162.479;August ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Setembro ;1.160.003;207.348;141.896;134.253;122.466;52.924;51.554;39.194;76.120;22.070;31.871;33.928;22.761;10.897;12.906;9.680;4.297;4.058;181.780;September ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outubro;1.006.602;179.649;116.913;123.276;97.963;43.330;50.439;32.466;72.814;13.447;20.573;27.443;21.791;9.266;18.731;7.211;3.185;2.937;165.168;October;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Novembro ;533.570;71.106;76.782;66.258;55.613;20.086;23.601;21.196;37.790;6.843;12.361;7.047;9.617;6.683;12.681;3.775;1.834;2.083;98.214;November ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dezembro;421.806;48.480;90.482;39.669;39.320;14.186;14.293;22.659;36.211;3.919;7.208;3.842;6.736;4.774;7.517;2.672;1.273;1.726;76.839;December;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;11.053.325;1.792.475;1.659.949;1.220.823;1.268.122;511.779;468.004;474.728;598.487;192.999;271.082;265.592;222.059;107.224;155.174;99.252;39.638;45.981;1.659.957;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Janeiro ;419.214;54.146;61.604;41.783;40.681;15.947;13.196;22.044;48.676;5.028;7.091;4.786;5.961;5.826;5.966;2.684;1.204;1.900;80.691;January ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fevereiro;465.408;69.716;71.094;54.995;48.096;22.870;13.071;18.247;36.419;5.038;9.989;7.203;8.055;7.569;8.773;3.679;1.437;1.655;77.502;February ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Março ;668.371;99.440;106.486;99.660;63.027;30.982;25.918;25.123;32.737;6.713;13.425;9.431;13.200;11.502;15.154;8.486;1.754;2.549;102.784;March ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abril ;967.708;144.276;155.144;121.694;112.061;41.567;41.706;36.843;48.677;11.717;26.321;20.738;23.839;10.796;19.050;11.437;3.078;3.502;135.262;April ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maio ;1.189.868;207.360;120.919;138.901;165.321;63.919;55.090;43.985;71.728;16.493;31.462;34.501;23.918;7.411;13.289;14.540;4.563;5.788;170.680;May ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Junho;1.150.202;220.270;126.967;127.899;134.617;56.867;54.576;42.518;57.595;25.160;28.617;39.866;21.399;7.914;10.836;10.515;4.897;4.600;175.089;June ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Julho ;1.252.245;212.297;200.769;100.851;127.916;68.702;51.600;51.054;63.655;30.452;43.965;37.235;30.502;14.344;15.052;11.078;5.190;5.601;181.982;July ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agosto ;1.418.908;199.030;311.996;121.249;211.969;60.390;43.206;96.318;49.164;28.135;31.941;33.288;22.254;7.385;9.286;10.276;4.250;6.672;172.099;August ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Setembro ;1.324.145;242.486;154.360;158.691;148.527;60.957;64.213;50.304;64.378;33.270;34.570;37.235;28.359;12.052;15.824;11.588;5.559;5.279;196.493;September ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
