;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Inquérito à Permanência de Hóspedes na Hotelaria e Outros Alojamentos: 
resultados globais incluindo AL (? 10 camas) e TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Survey on Guests Stays on Hotel Establishments and Other Accommodations: 
global results including AL (10 or more beds) and TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8. Dormidas de não residentes nos estabelecimentos de alojamento turístico, por países de residência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8. Overnight stays in tourist accommodation establishments by non-residents, by country of residence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Unidade/Unit: nº ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos e meses;Total;Reino Unido;Alemanha;Espanha;França;Países Baixos;Brasil;Itália;EUA;Bélgica;Suiça;Polónia;Canadá;Suécia;Irlanda;Dinamarca;Rússia;China;Outros;Year / month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;30 355 813;7 095 996;4 261 924;3 215 360;2 688 088;2 197 573;1 234 613;833 596;795 189;664 418;511 713;471 756;330 736;511 675;1 104 749;432 676;612 893;147 457;3 245 401;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Janeiro ;1 058 025;245 689;160 797;82 642;61 342;97 318;78 074;33 261;22 038;13 047;12 911;13 867;8 285;20 345;11 193;23 536;29 580;5 435;138 665;January ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fevereiro;1 316 631;292 904;226 900;99 965;82 914;138 145;66 290;30 177;28 512;18 227;21 141;16 024;25 201;32 811;19 268;37 617;14 713;9 727;156 095;February ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Março ;1 968 359;383 163;366 112;270 809;122 522;142 223;66 598;47 763;46 989;26 916;31 036;17 124;42 951;58 939;34 972;48 970;29 263;10 305;221 704;March ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abril ;2 318 608;526 071;358 152;163 804;231 092;143 521;88 158;71 324;66 629;64 017;47 764;30 054;27 326;59 822;69 941;44 028;39 531;10 869;276 505;April ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
