Date,sleeps
2017-01-01,2657847
2017-02-01,3081026
2017-03-01,4015775
2017-04-01,5706131
2017-05-01,6002029
2017-06-01,6716372
2017-07-01,7841656
2017-08-01,9021656
2017-09-01,7194693
2017-10-01,6071385
2017-11-01,3537490
2017-12-01,3119681
2018-01-01,2843739
2018-02-01,3332670
2018-03-01,4571119
2018-04-01,5374612
2018-05-01,6302074
2018-06-01,6743203
2018-07-01,7974521
2018-08-01,9292740
2018-09-01,7342627
2018-10-01,6250714
2018-11-01,3791610
2018-12-01,3256830
2019-01-01,3034284
2019-02-01,3365240
2019-03-01,4606922
2019-04-01,5981300
2019-05-01,6557840
2019-06-01,7177554
2019-07-01,8231230
2019-08-01,9633427
2019-09-01,7624574
2019-10-01,6358685
2019-11-01,4071968
2019-12-01,3515940
2020-01-01,3258226
2020-02-01,3817043
2020-03-01,1875506
2020-04-01,133212
2020-05-01,261593
2020-06-01,1031062
2020-07-01,2631261
2020-08-01,5082349
2020-09-01,3534350
2020-10-01,2300257
2020-11-01,920058
2020-12-01,953382
2021-01-01,688039
2021-02-01,459904
2021-03-01,615727
2021-04-01,921028
2021-05-01,2024210
2021-06-01,3401792
2021-07-01,4538643
2021-08-01,7507272
2021-09-01,5585513
2021-10-01,5468960
2021-11-01,3556760
2021-12-01,2564574
2022-11-01,4246059
2022-10-01,6769497
2022-09-01,7664771
2022-08-01,9935751
2022-07-01,8623586
2022-06-01,7167299
2022-05-01,6511175
2022-04-01,6006236
2022-03-01,4006723
2022-02-01,2920471
2022-01-01,1988869
