,Type,Date,Value
0,Hotelaria,Dezembro de 2021,132228
1,Hotelaria,Novembro de 2021,185160
2,Hotelaria,Outubro de 2021,295076
3,Hotelaria,Setembro de 2021,309314
4,Hotelaria,Agosto de 2021,444303
5,Hotelaria,Julho de 2021,249503
6,Hotelaria,Junho de 2021,180855
7,Hotelaria,Maio de 2021,105956
8,Hotelaria,Abril de 2021,37884
9,Hotelaria,Março de 2021,20995
10,Hotelaria,Fevereiro de 2021,14634
11,Hotelaria,Janeiro de 2021,26989
12,Hotelaria,Dezembro de 2020,45292
13,Hotelaria,Novembro de 2020,39181
14,Hotelaria,Outubro de 2020,105666
15,Hotelaria,Setembro de 2020,173731
16,Hotelaria,Agosto de 2020,273701
17,Hotelaria,Julho de 2020,131215
18,Hotelaria,Junho de 2020,40986
19,Hotelaria,Maio de 2020,6960
20,Hotelaria,Abril de 2020,3410
21,Hotelaria,Março de 2020,87898
22,Hotelaria,Fevereiro de 2020,174634
23,Hotelaria,Janeiro de 2020,157454
24,Hotelaria,Dezembro de 2019,181357
25,Hotelaria,Novembro de 2019,204789
26,Hotelaria,Outubro de 2019,348442
27,Hotelaria,Setembro de 2019,442038
28,Hotelaria,Agosto de 2019,554823
29,Hotelaria,Julho de 2019,469098
30,Hotelaria,Junho de 2019,413087
31,Hotelaria,Maio de 2019,362624
32,Hotelaria,Abril de 2019,296248
33,Hotelaria,Março de 2019,221262
34,Hotelaria,Fevereiro de 2019,154218
35,Hotelaria,Janeiro de 2019,147486
36,Hotelaria,Dezembro de 2018,167658
37,Hotelaria,Novembro de 2018,187030
38,Hotelaria,Outubro de 2018,330876
39,Hotelaria,Setembro de 2018,417982
40,Hotelaria,Agosto de 2018,522369
41,Hotelaria,Julho de 2018,451291
42,Hotelaria,Junho de 2018,375782
43,Hotelaria,Maio de 2018,342261
44,Hotelaria,Abril de 2018,273248
45,Hotelaria,Março de 2018,218176
46,Hotelaria,Fevereiro de 2018,148204
47,Hotelaria,Janeiro de 2018,134908
48,Hotelaria,Dezembro de 2017,155206
49,Hotelaria,Novembro de 2017,173792
50,Hotelaria,Outubro de 2017,317114
51,Hotelaria,Setembro de 2017,407097
52,Hotelaria,Agosto de 2017,494703
53,Hotelaria,Julho de 2017,421925
54,Hotelaria,Junho de 2017,343552
55,Hotelaria,Maio de 2017,309368
56,Hotelaria,Abril de 2017,263848
57,Hotelaria,Março de 2017,183515
58,Hotelaria,Fevereiro de 2017,133906
59,Hotelaria,Janeiro de 2017,119518
60,Alojamento local,Dezembro de 2021,13590
61,Alojamento local,Novembro de 2021,17907
62,Alojamento local,Outubro de 2021,26695
63,Alojamento local,Setembro de 2021,29753
64,Alojamento local,Agosto de 2021,43631
65,Alojamento local,Julho de 2021,25185
66,Alojamento local,Junho de 2021,17789
67,Alojamento local,Maio de 2021,10274
68,Alojamento local,Abril de 2021,5104
69,Alojamento local,Março de 2021,3401
70,Alojamento local,Fevereiro de 2021,2718
71,Alojamento local,Janeiro de 2021,3727
72,Alojamento local,Dezembro de 2020,4933
73,Alojamento local,Novembro de 2020,4769
74,Alojamento local,Outubro de 2020,10326
75,Alojamento local,Setembro de 2020,16374
76,Alojamento local,Agosto de 2020,27571
77,Alojamento local,Julho de 2020,13690
78,Alojamento local,Junho de 2020,5714
79,Alojamento local,Maio de 2020,1782
80,Alojamento local,Abril de 2020,865
81,Alojamento local,Março de 2020,8117
82,Alojamento local,Fevereiro de 2020,14675
83,Alojamento local,Janeiro de 2020,13531
84,Alojamento local,Dezembro de 2019,18567
85,Alojamento local,Novembro de 2019,19784
86,Alojamento local,Outubro de 2019,33093
87,Alojamento local,Setembro de 2019,44758
88,Alojamento local,Agosto de 2019,60231
89,Alojamento local,Julho de 2019,49446
90,Alojamento local,Junho de 2019,40376
91,Alojamento local,Maio de 2019,35590
92,Alojamento local,Abril de 2019,29655
93,Alojamento local,Março de 2019,21195
94,Alojamento local,Fevereiro de 2019,14802
95,Alojamento local,Janeiro de 2019,14139
96,Alojamento local,Dezembro de 2018,15396
97,Alojamento local,Novembro de 2018,16717
98,Alojamento local,Outubro de 2018,28364
99,Alojamento local,Setembro de 2018,36719
100,Alojamento local,Agosto de 2018,49634
101,Alojamento local,Julho de 2018,40513
102,Alojamento local,Junho de 2018,30769
103,Alojamento local,Maio de 2018,28495
104,Alojamento local,Abril de 2018,23028
105,Alojamento local,Março de 2018,18094
106,Alojamento local,Fevereiro de 2018,12867
107,Alojamento local,Janeiro de 2018,12275
108,Alojamento local,Dezembro de 2017,14069
109,Alojamento local,Novembro de 2017,14677
110,Alojamento local,Outubro de 2017,25277
111,Alojamento local,Setembro de 2017,31723
112,Alojamento local,Agosto de 2017,41280
113,Alojamento local,Julho de 2017,33761
114,Alojamento local,Junho de 2017,26502
115,Alojamento local,Maio de 2017,22400
116,Alojamento local,Abril de 2017,19442
117,Alojamento local,Março de 2017,13571
118,Alojamento local,Fevereiro de 2017,10369
119,Alojamento local,Janeiro de 2017,9882
120,Turismo no espaço rural e de habitação,Dezembro de 2021,6645
121,Turismo no espaço rural e de habitação,Novembro de 2021,7939
122,Turismo no espaço rural e de habitação,Outubro de 2021,13929
123,Turismo no espaço rural e de habitação,Setembro de 2021,18075
124,Turismo no espaço rural e de habitação,Agosto de 2021,30838
125,Turismo no espaço rural e de habitação,Julho de 2021,19392
126,Turismo no espaço rural e de habitação,Junho de 2021,13570
127,Turismo no espaço rural e de habitação,Maio de 2021,8979
128,Turismo no espaço rural e de habitação,Abril de 2021,4030
129,Turismo no espaço rural e de habitação,Março de 2021,1723
130,Turismo no espaço rural e de habitação,Fevereiro de 2021,905
131,Turismo no espaço rural e de habitação,Janeiro de 2021,1577
132,Turismo no espaço rural e de habitação,Dezembro de 2020,3121
133,Turismo no espaço rural e de habitação,Novembro de 2020,2481
134,Turismo no espaço rural e de habitação,Outubro de 2020,7594
135,Turismo no espaço rural e de habitação,Setembro de 2020,13517
136,Turismo no espaço rural e de habitação,Agosto de 2020,23893
137,Turismo no espaço rural e de habitação,Julho de 2020,13894
138,Turismo no espaço rural e de habitação,Junho de 2020,6333
139,Turismo no espaço rural e de habitação,Maio de 2020,906
140,Turismo no espaço rural e de habitação,Abril de 2020,192
141,Turismo no espaço rural e de habitação,Março de 2020,2437
142,Turismo no espaço rural e de habitação,Fevereiro de 2020,5113
143,Turismo no espaço rural e de habitação,Janeiro de 2020,3727
144,Turismo no espaço rural e de habitação,Dezembro de 2019,5346
145,Turismo no espaço rural e de habitação,Novembro de 2019,5451
146,Turismo no espaço rural e de habitação,Outubro de 2019,9600
147,Turismo no espaço rural e de habitação,Setembro de 2019,14740
148,Turismo no espaço rural e de habitação,Agosto de 2019,23238
149,Turismo no espaço rural e de habitação,Julho de 2019,16085
150,Turismo no espaço rural e de habitação,Junho de 2019,12520
151,Turismo no espaço rural e de habitação,Maio de 2019,9886
152,Turismo no espaço rural e de habitação,Abril de 2019,9027
153,Turismo no espaço rural e de habitação,Março de 2019,5787
154,Turismo no espaço rural e de habitação,Fevereiro de 2019,3713
155,Turismo no espaço rural e de habitação,Janeiro de 2019,3319
156,Turismo no espaço rural e de habitação,Dezembro de 2018,4613
157,Turismo no espaço rural e de habitação,Novembro de 2018,4652
158,Turismo no espaço rural e de habitação,Outubro de 2018,8881
159,Turismo no espaço rural e de habitação,Setembro de 2018,12814
160,Turismo no espaço rural e de habitação,Agosto de 2018,20249
161,Turismo no espaço rural e de habitação,Julho de 2018,14500
162,Turismo no espaço rural e de habitação,Junho de 2018,10242
163,Turismo no espaço rural e de habitação,Maio de 2018,9197
