,Type,Earnings,month,year
0,Hotelaria,132228,December, 2021
1,Hotelaria,185160,November, 2021
2,Hotelaria,295076,October, 2021
3,Hotelaria,309314,September, 2021
4,Hotelaria,444303,August, 2021
5,Hotelaria,249503,July, 2021
6,Hotelaria,180855,June, 2021
7,Hotelaria,105956,May, 2021
8,Hotelaria,37884,April, 2021
9,Hotelaria,20995,March, 2021
10,Hotelaria,14634,February, 2021
11,Hotelaria,26989,January, 2021
12,Hotelaria,45292,December, 2020
13,Hotelaria,39181,November, 2020
14,Hotelaria,105666,October, 2020
15,Hotelaria,173731,September, 2020
16,Hotelaria,273701,August, 2020
17,Hotelaria,131215,July, 2020
18,Hotelaria,40986,June, 2020
19,Hotelaria,6960,May, 2020
20,Hotelaria,3410,April, 2020
21,Hotelaria,87898,March, 2020
22,Hotelaria,174634,February, 2020
23,Hotelaria,157454,January, 2020
24,Hotelaria,181357,December, 2019
25,Hotelaria,204789,November, 2019
26,Hotelaria,348442,October, 2019
27,Hotelaria,442038,September, 2019
28,Hotelaria,554823,August, 2019
29,Hotelaria,469098,July, 2019
30,Hotelaria,413087,June, 2019
31,Hotelaria,362624,May, 2019
32,Hotelaria,296248,April, 2019
33,Hotelaria,221262,March, 2019
34,Hotelaria,154218,February, 2019
35,Hotelaria,147486,January, 2019
36,Hotelaria,167658,December, 2018
37,Hotelaria,187030,November, 2018
38,Hotelaria,330876,October, 2018
39,Hotelaria,417982,September, 2018
40,Hotelaria,522369,August, 2018
41,Hotelaria,451291,July, 2018
42,Hotelaria,375782,June, 2018
43,Hotelaria,342261,May, 2018
44,Hotelaria,273248,April, 2018
45,Hotelaria,218176,March, 2018
46,Hotelaria,148204,February, 2018
47,Hotelaria,134908,January, 2018
48,Hotelaria,155206,December, 2017
49,Hotelaria,173792,November, 2017
50,Hotelaria,317114,October, 2017
51,Hotelaria,407097,September, 2017
52,Hotelaria,494703,August, 2017
53,Hotelaria,421925,July, 2017
54,Hotelaria,343552,June, 2017
55,Hotelaria,309368,May, 2017
56,Hotelaria,263848,April, 2017
57,Hotelaria,183515,March, 2017
58,Hotelaria,133906,February, 2017
59,Hotelaria,119518,January, 2017
60,Alojamento local,13590,December, 2021
61,Alojamento local,17907,November, 2021
62,Alojamento local,26695,October, 2021
63,Alojamento local,29753,September, 2021
64,Alojamento local,43631,August, 2021
65,Alojamento local,25185,July, 2021
66,Alojamento local,17789,June, 2021
67,Alojamento local,10274,May, 2021
68,Alojamento local,5104,April, 2021
69,Alojamento local,3401,March, 2021
70,Alojamento local,2718,February, 2021
71,Alojamento local,3727,January, 2021
72,Alojamento local,4933,December, 2020
73,Alojamento local,4769,November, 2020
74,Alojamento local,10326,October, 2020
75,Alojamento local,16374,September, 2020
76,Alojamento local,27571,August, 2020
77,Alojamento local,13690,July, 2020
78,Alojamento local,5714,June, 2020
79,Alojamento local,1782,May, 2020
80,Alojamento local,865,April, 2020
81,Alojamento local,8117,March, 2020
82,Alojamento local,14675,February, 2020
83,Alojamento local,13531,January, 2020
84,Alojamento local,18567,December, 2019
85,Alojamento local,19784,November, 2019
86,Alojamento local,33093,October, 2019
87,Alojamento local,44758,September, 2019
88,Alojamento local,60231,August, 2019
89,Alojamento local,49446,July, 2019
90,Alojamento local,40376,June, 2019
91,Alojamento local,35590,May, 2019
92,Alojamento local,29655,April, 2019
93,Alojamento local,21195,March, 2019
94,Alojamento local,14802,February, 2019
95,Alojamento local,14139,January, 2019
96,Alojamento local,15396,December, 2018
97,Alojamento local,16717,November, 2018
98,Alojamento local,28364,October, 2018
99,Alojamento local,36719,September, 2018
100,Alojamento local,49634,August, 2018
101,Alojamento local,40513,July, 2018
102,Alojamento local,30769,June, 2018
103,Alojamento local,28495,May, 2018
104,Alojamento local,23028,April, 2018
105,Alojamento local,18094,March, 2018
106,Alojamento local,12867,February, 2018
107,Alojamento local,12275,January, 2018
108,Alojamento local,14069,December, 2017
109,Alojamento local,14677,November, 2017
110,Alojamento local,25277,October, 2017
111,Alojamento local,31723,September, 2017
112,Alojamento local,41280,August, 2017
113,Alojamento local,33761,July, 2017
114,Alojamento local,26502,June, 2017
115,Alojamento local,22400,May, 2017
116,Alojamento local,19442,April, 2017
117,Alojamento local,13571,March, 2017
118,Alojamento local,10369,February, 2017
119,Alojamento local,9882,January, 2017
120,Turismo no espaço rural e de habitação,6645,December, 2021
121,Turismo no espaço rural e de habitação,7939,November, 2021
122,Turismo no espaço rural e de habitação,13929,October, 2021
123,Turismo no espaço rural e de habitação,18075,September, 2021
124,Turismo no espaço rural e de habitação,30838,August, 2021
125,Turismo no espaço rural e de habitação,19392,July, 2021
126,Turismo no espaço rural e de habitação,13570,June, 2021
127,Turismo no espaço rural e de habitação,8979,May, 2021
128,Turismo no espaço rural e de habitação,4030,April, 2021
129,Turismo no espaço rural e de habitação,1723,March, 2021
130,Turismo no espaço rural e de habitação,905,February, 2021
131,Turismo no espaço rural e de habitação,1577,January, 2021
132,Turismo no espaço rural e de habitação,3121,December, 2020
