Date,Earnings,sleeps,Guests
2017-01-01,131933,2657847,1099252
2017-02-01,147256,3081026,1218329
2017-03-01,200851,4015775,1537326
2017-04-01,290595,5706131,2170641
2017-05-01,339481,6002029,2248329
2017-06-01,379140,6716372,2392536
2017-07-01,468826,7841656,2606509
2017-08-01,555291,9021656,2930910
2017-09-01,450722,7194693,2620090
2017-10-01,350786,6071385,2281543
2017-11-01,192382,3537490,1423707
2017-12-01,173945,3119681,1356400
2018-01-01,150151,2843739,1169618
2018-02-01,164730,3332670,1326917
2018-03-01,241219,4571119,1773889
2018-04-01,303450,5374612,2099720
2018-05-01,379953,6302074,2421499
2018-06-01,416793,6743203,2473840
2018-07-01,506304,7974521,2678035
2018-08-01,592252,9292740,3103645
2018-09-01,467515,7342627,2736676
2018-10-01,368121,6250714,2376320
2018-11-01,208399,3791610,1558139
2018-12-01,187667,3256830,1437030
2019-01-01,164944,3034284,1273443
2019-02-01,172733,3365240,1393567
2019-03-01,248244,4606922,1863147
2019-04-01,334930,5981300,2331199
2019-05-01,408100,6557840,2625708
2019-06-01,465983,7177554,2740152
2019-07-01,534629,8231230,2849319
2019-08-01,638292,9633427,3335024
2019-09-01,501536,7624574,2896432
2019-10-01,391135,6358685,2500447
2019-11-01,230024,4071968,1755112
2019-12-01,205270,3515940,1578866
2020-01-01,174712,3258226,1419505
2020-02-01,194422,3817043,1585501
2020-03-01,98452,1875506,681811
2020-04-01,4467,133212,46971
2020-05-01,9648,261593,126627
2020-06-01,53033,1031062,476660
2020-07-01,158799,2631261,1025974
2020-08-01,325165,5082349,1877772
2020-09-01,203622,3534350,1352118
2020-10-01,123586,2300257,990434
2020-11-01,46431,920058,398463
2020-12-01,53346,953382,448764
2021-01-01,32293,688039,296172
2021-02-01,18257,459904,202024
2021-03-01,26119,615727,274336
2021-04-01,47018,921028,446342
2021-05-01,125209,2024210,969144
2021-06-01,212214,3401792,1352387
2021-07-01,294080,4538643,1633781
2021-08-01,518772,7507272,2537993
2021-09-01,357142,5585513,2053453
2021-10-01,335700,5468960,2128258
2021-11-01,211006,3556760,1452112
2021-12-01,152463,2564574,1116009
