,Type,Date,Value
0,Hotelaria,Dezembro de 2021,897016
1,Hotelaria,Novembro de 2021,1179545
2,Hotelaria,Outubro de 2021,1728722
3,Hotelaria,Setembro de 2021,1626039
4,Hotelaria,Agosto de 2021,1957735
5,Hotelaria,Julho de 2021,1259716
6,Hotelaria,Junho de 2021,1057039
7,Hotelaria,Maio de 2021,765883
8,Hotelaria,Abril de 2021,345474
9,Hotelaria,Março de 2021,213008
10,Hotelaria,Fevereiro de 2021,157155
11,Hotelaria,Janeiro de 2021,235919
12,Hotelaria,Dezembro de 2020,360327
13,Hotelaria,Novembro de 2020,315300
14,Hotelaria,Outubro de 2020,789487
15,Hotelaria,Setembro de 2020,1057851
16,Hotelaria,Agosto de 2020,1439298
17,Hotelaria,Julho de 2020,774014
18,Hotelaria,Junho de 2020,347634
19,Hotelaria,Maio de 2020,92896
20,Hotelaria,Abril de 2020,35181
21,Hotelaria,Março de 2020,562753
22,Hotelaria,Fevereiro de 2020,1321936
23,Hotelaria,Janeiro de 2020,1189595
24,Hotelaria,Dezembro de 2019,1275651
25,Hotelaria,Novembro de 2019,1426861
26,Hotelaria,Outubro de 2019,2016384
27,Hotelaria,Setembro de 2019,2281845
28,Hotelaria,Agosto de 2019,2549496
29,Hotelaria,Julho de 2019,2217232
30,Hotelaria,Junho de 2019,2165771
31,Hotelaria,Maio de 2019,2106377
32,Hotelaria,Abril de 2019,1865375
33,Hotelaria,Março de 2019,1516066
34,Hotelaria,Fevereiro de 2019,1137073
35,Hotelaria,Janeiro de 2019,1035910
36,Hotelaria,Dezembro de 2018,1181968
37,Hotelaria,Novembro de 2018,1287899
38,Hotelaria,Outubro de 2018,1943758
39,Hotelaria,Setembro de 2018,2202752
40,Hotelaria,Agosto de 2018,2434670
41,Hotelaria,Julho de 2018,2120625
42,Hotelaria,Junho de 2018,2013408
43,Hotelaria,Maio de 2018,1984529
44,Hotelaria,Abril de 2018,1736497
45,Hotelaria,Março de 2018,1473058
46,Hotelaria,Fevereiro de 2018,1101422
47,Hotelaria,Janeiro de 2018,969646
48,Hotelaria,Dezembro de 2017,1122456
49,Hotelaria,Novembro de 2017,1183720
50,Hotelaria,Outubro de 2017,1897078
51,Hotelaria,Setembro de 2017,2147614
52,Hotelaria,Agosto de 2017,2349540
53,Hotelaria,Julho de 2017,2121123
54,Hotelaria,Junho de 2017,1983858
55,Hotelaria,Maio de 2017,1885573
56,Hotelaria,Abril de 2017,1814577
57,Hotelaria,Março de 2017,1302460
58,Hotelaria,Fevereiro de 2017,1029355
59,Hotelaria,Janeiro de 2017,931993
60,Alojamento local,Dezembro de 2021,167868
61,Alojamento local,Novembro de 2021,216257
62,Alojamento local,Outubro de 2021,298959
63,Alojamento local,Setembro de 2021,312550
64,Alojamento local,Agosto de 2021,402530
65,Alojamento local,Julho de 2021,253376
66,Alojamento local,Junho de 2021,199854
67,Alojamento local,Maio de 2021,135292
68,Alojamento local,Abril de 2021,70159
69,Alojamento local,Março de 2021,47940
70,Alojamento local,Fevereiro de 2021,38048
71,Alojamento local,Janeiro de 2021,49787
72,Alojamento local,Dezembro de 2020,66185
73,Alojamento local,Novembro de 2020,66036
74,Alojamento local,Outubro de 2020,141773
75,Alojamento local,Setembro de 2020,200720
76,Alojamento local,Agosto de 2020,288578
77,Alojamento local,Julho de 2020,157338
78,Alojamento local,Junho de 2020,77793
79,Alojamento local,Maio de 2020,25746
80,Alojamento local,Abril de 2020,10896
81,Alojamento local,Março de 2020,101955
82,Alojamento local,Fevereiro de 2020,214985
83,Alojamento local,Janeiro de 2020,196084
84,Alojamento local,Dezembro de 2019,260248
85,Alojamento local,Novembro de 2019,280117
86,Alojamento local,Outubro de 2019,406576
87,Alojamento local,Setembro de 2019,502880
88,Alojamento local,Agosto de 2019,619090
89,Alojamento local,Julho de 2019,515488
90,Alojamento local,Junho de 2019,469785
91,Alojamento local,Maio de 2019,434815
92,Alojamento local,Abril de 2019,385936
93,Alojamento local,Março de 2019,294371
94,Alojamento local,Fevereiro de 2019,221411
95,Alojamento local,Janeiro de 2019,209221
96,Alojamento local,Dezembro de 2018,214391
97,Alojamento local,Novembro de 2018,233918
98,Alojamento local,Outubro de 2018,357341
99,Alojamento local,Setembro de 2018,429495
100,Alojamento local,Agosto de 2018,519844
101,Alojamento local,Julho de 2018,448477
102,Alojamento local,Junho de 2018,375981
103,Alojamento local,Maio de 2018,358734
104,Alojamento local,Abril de 2018,300536
105,Alojamento local,Março de 2018,254075
106,Alojamento local,Fevereiro de 2018,189758
107,Alojamento local,Janeiro de 2018,173881
108,Alojamento local,Dezembro de 2017,193333
109,Alojamento local,Novembro de 2017,208259
110,Alojamento local,Outubro de 2017,315054
111,Alojamento local,Setembro de 2017,375090
112,Alojamento local,Agosto de 2017,445213
113,Alojamento local,Julho de 2017,382885
114,Alojamento local,Junho de 2017,329201
115,Alojamento local,Maio de 2017,294663
116,Alojamento local,Abril de 2017,280856
117,Alojamento local,Março de 2017,197621
118,Alojamento local,Fevereiro de 2017,156477
119,Alojamento local,Janeiro de 2017,142825
120,Turismo no espaço rural e de habitação,Dezembro de 2021,51125
121,Turismo no espaço rural e de habitação,Novembro de 2021,56310
122,Turismo no espaço rural e de habitação,Outubro de 2021,100577
123,Turismo no espaço rural e de habitação,Setembro de 2021,114864
124,Turismo no espaço rural e de habitação,Agosto de 2021,177728
125,Turismo no espaço rural e de habitação,Julho de 2021,120689
126,Turismo no espaço rural e de habitação,Junho de 2021,95494
127,Turismo no espaço rural e de habitação,Maio de 2021,67969
128,Turismo no espaço rural e de habitação,Abril de 2021,30709
129,Turismo no espaço rural e de habitação,Março de 2021,13388
130,Turismo no espaço rural e de habitação,Fevereiro de 2021,6821
131,Turismo no espaço rural e de habitação,Janeiro de 2021,10466
132,Turismo no espaço rural e de habitação,Dezembro de 2020,22252
133,Turismo no espaço rural e de habitação,Novembro de 2020,17127
134,Turismo no espaço rural e de habitação,Outubro de 2020,59174
135,Turismo no espaço rural e de habitação,Setembro de 2020,93547
136,Turismo no espaço rural e de habitação,Agosto de 2020,149896
137,Turismo no espaço rural e de habitação,Julho de 2020,94622
138,Turismo no espaço rural e de habitação,Junho de 2020,51233
139,Turismo no espaço rural e de habitação,Maio de 2020,7985
