,Type,Guests,month,year
0,Hotelaria,897016,December, 2021
1,Hotelaria,1179545,November, 2021
2,Hotelaria,1728722,October, 2021
3,Hotelaria,1626039,September, 2021
4,Hotelaria,1957735,August, 2021
5,Hotelaria,1259716,July, 2021
6,Hotelaria,1057039,June, 2021
7,Hotelaria,765883,May, 2021
8,Hotelaria,345474,April, 2021
9,Hotelaria,213008,March, 2021
10,Hotelaria,157155,February, 2021
11,Hotelaria,235919,January, 2021
12,Hotelaria,360327,December, 2020
13,Hotelaria,315300,November, 2020
14,Hotelaria,789487,October, 2020
15,Hotelaria,1057851,September, 2020
16,Hotelaria,1439298,August, 2020
17,Hotelaria,774014,July, 2020
18,Hotelaria,347634,June, 2020
19,Hotelaria,92896,May, 2020
20,Hotelaria,35181,April, 2020
21,Hotelaria,562753,March, 2020
22,Hotelaria,1321936,February, 2020
23,Hotelaria,1189595,January, 2020
24,Hotelaria,1275651,December, 2019
25,Hotelaria,1426861,November, 2019
26,Hotelaria,2016384,October, 2019
27,Hotelaria,2281845,September, 2019
28,Hotelaria,2549496,August, 2019
29,Hotelaria,2217232,July, 2019
30,Hotelaria,2165771,June, 2019
31,Hotelaria,2106377,May, 2019
32,Hotelaria,1865375,April, 2019
33,Hotelaria,1516066,March, 2019
34,Hotelaria,1137073,February, 2019
35,Hotelaria,1035910,January, 2019
36,Hotelaria,1181968,December, 2018
37,Hotelaria,1287899,November, 2018
38,Hotelaria,1943758,October, 2018
39,Hotelaria,2202752,September, 2018
40,Hotelaria,2434670,August, 2018
41,Hotelaria,2120625,July, 2018
42,Hotelaria,2013408,June, 2018
43,Hotelaria,1984529,May, 2018
44,Hotelaria,1736497,April, 2018
45,Hotelaria,1473058,March, 2018
46,Hotelaria,1101422,February, 2018
47,Hotelaria,969646,January, 2018
48,Hotelaria,1122456,December, 2017
49,Hotelaria,1183720,November, 2017
50,Hotelaria,1897078,October, 2017
51,Hotelaria,2147614,September, 2017
52,Hotelaria,2349540,August, 2017
53,Hotelaria,2121123,July, 2017
54,Hotelaria,1983858,June, 2017
55,Hotelaria,1885573,May, 2017
56,Hotelaria,1814577,April, 2017
57,Hotelaria,1302460,March, 2017
58,Hotelaria,1029355,February, 2017
59,Hotelaria,931993,January, 2017
60,Alojamento local,167868,December, 2021
61,Alojamento local,216257,November, 2021
62,Alojamento local,298959,October, 2021
63,Alojamento local,312550,September, 2021
64,Alojamento local,402530,August, 2021
65,Alojamento local,253376,July, 2021
66,Alojamento local,199854,June, 2021
67,Alojamento local,135292,May, 2021
68,Alojamento local,70159,April, 2021
69,Alojamento local,47940,March, 2021
70,Alojamento local,38048,February, 2021
71,Alojamento local,49787,January, 2021
72,Alojamento local,66185,December, 2020
73,Alojamento local,66036,November, 2020
74,Alojamento local,141773,October, 2020
75,Alojamento local,200720,September, 2020
76,Alojamento local,288578,August, 2020
77,Alojamento local,157338,July, 2020
78,Alojamento local,77793,June, 2020
79,Alojamento local,25746,May, 2020
80,Alojamento local,10896,April, 2020
81,Alojamento local,101955,March, 2020
82,Alojamento local,214985,February, 2020
83,Alojamento local,196084,January, 2020
84,Alojamento local,260248,December, 2019
85,Alojamento local,280117,November, 2019
86,Alojamento local,406576,October, 2019
87,Alojamento local,502880,September, 2019
88,Alojamento local,619090,August, 2019
89,Alojamento local,515488,July, 2019
90,Alojamento local,469785,June, 2019
91,Alojamento local,434815,May, 2019
92,Alojamento local,385936,April, 2019
93,Alojamento local,294371,March, 2019
94,Alojamento local,221411,February, 2019
95,Alojamento local,209221,January, 2019
96,Alojamento local,214391,December, 2018
97,Alojamento local,233918,November, 2018
98,Alojamento local,357341,October, 2018
99,Alojamento local,429495,September, 2018
100,Alojamento local,519844,August, 2018
101,Alojamento local,448477,July, 2018
102,Alojamento local,375981,June, 2018
103,Alojamento local,358734,May, 2018
104,Alojamento local,300536,April, 2018
105,Alojamento local,254075,March, 2018
106,Alojamento local,189758,February, 2018
107,Alojamento local,173881,January, 2018
108,Alojamento local,193333,December, 2017
109,Alojamento local,208259,November, 2017
110,Alojamento local,315054,October, 2017
111,Alojamento local,375090,September, 2017
112,Alojamento local,445213,August, 2017
113,Alojamento local,382885,July, 2017
114,Alojamento local,329201,June, 2017
115,Alojamento local,294663,May, 2017
116,Alojamento local,280856,April, 2017
117,Alojamento local,197621,March, 2017
118,Alojamento local,156477,February, 2017
119,Alojamento local,142825,January, 2017
120,Turismo no espaço rural e de habitação,51125,December, 2021
121,Turismo no espaço rural e de habitação,56310,November, 2021
122,Turismo no espaço rural e de habitação,100577,October, 2021
123,Turismo no espaço rural e de habitação,114864,September, 2021
124,Turismo no espaço rural e de habitação,177728,August, 2021
125,Turismo no espaço rural e de habitação,120689,July, 2021
126,Turismo no espaço rural e de habitação,95494,June, 2021
127,Turismo no espaço rural e de habitação,67969,May, 2021
128,Turismo no espaço rural e de habitação,30709,April, 2021
129,Turismo no espaço rural e de habitação,13388,March, 2021
130,Turismo no espaço rural e de habitação,6821,February, 2021
131,Turismo no espaço rural e de habitação,10466,January, 2021
132,Turismo no espaço rural e de habitação,22252,December, 2020
133,Turismo no espaço rural e de habitação,17127,November, 2020
134,Turismo no espaço rural e de habitação,59174,October, 2020
135,Turismo no espaço rural e de habitação,93547,September, 2020
136,Turismo no espaço rural e de habitação,149896,August, 2020
137,Turismo no espaço rural e de habitação,94622,July, 2020
138,Turismo no espaço rural e de habitação,51233,June, 2020
139,Turismo no espaço rural e de habitação,7985,May, 2020
140,Turismo no espaço rural e de habitação,894,April, 2020
141,Turismo no espaço rural e de habitação,17103,March, 2020
142,Turismo no espaço rural e de habitação,48580,February, 2020
143,Turismo no espaço rural e de habitação,33826,January, 2020
144,Turismo no espaço rural e de habitação,42967,December, 2019
145,Turismo no espaço rural e de habitação,48134,November, 2019
146,Turismo no espaço rural e de habitação,77487,October, 2019
147,Turismo no espaço rural e de habitação,111707,September, 2019
148,Turismo no espaço rural e de habitação,166438,August, 2019
149,Turismo no espaço rural e de habitação,116599,July, 2019
150,Turismo no espaço rural e de habitação,104596,June, 2019
151,Turismo no espaço rural e de habitação,84516,May, 2019
152,Turismo no espaço rural e de habitação,79888,April, 2019
