,Total,Reino Unido,Espanha,Alemanha,França,Países Baixos,EUA,Itália,Brasil,Polónia,Bélgica,Irlanda,Suíça,Dinamarca,Suécia,Áustria,Chéquia,Roménia,Outros,Year
1,8624099,1421318,1305504,949499,880357,457124,349000,339290,535677,128940,188117,220345,163019,98352,122103,82477,33810,34377,1314790,2013
14,9899306,1603274,1525569,1058937,1092133,461551,388573,384214,613444,146925,240128,241984,184993,102734,144953,89789,34494,36221,1549390,2014
27,11053325,1792475,1659949,1220823,1268122,511779,468004,474728,598487,192999,271082,265592,222059,107224,155174,99252,39638,45981,1659957,2015
40,12531006,1992033,1820213,1359622,1498595,600906,563554,536316,682664,222497,301129,303318,264595,126510,162421,119487,47811,48322,1881013,2016
53,14531151,2086528,1968670,1550877,1590847,614673,788976,649590,971132,318704,310984,345517,291129,145298,181565,144771,64575,70454,2436861,2017
66,15227164,2029601,2065861,1582550,1626311,607041,980120,664780,1103015,283180,325638,357269,300441,141518,189093,140499,66032,72842,2691373,2018
79,16410114,2145902,2285829,1541398,1623207,598375,1202247,722115,1281675,277616,325799,413733,304867,144490,183717,151055,63591,73743,3070755,2019
92,3904945,456639,795290,438321,470695,179947,133056,162028,272884,62124,95136,51904,81739,30691,45201,20945,18654,22754,566937,2020
105,5917873,693307,1151629,569517,773253,311255,345521,257072,235292,154606,187716,135068,162852,71943,63203,59624,48231,43121,654663,2021
0,14513011,2030246,2016877,1370995,1500225,619033,1432340,630754,859469,263784,323095,445229,306857,152579,141007,138606,93369,81652,2106894,2022
