
Quadro extraído em 20 de Janeiro de 2023 (10:32:30)
http://www.ine.pt



Localização geográfica (NUTS - 2013);Hóspedes (N.º) nos estabelecimentos de alojamento turístico por Localização geográfica (NUTS - 2013) e Segmento (alojamento turístico) -  Mensal;;;;
;Período de referência dos dados (1) ;;;;
;Novembro de 2022;;;;
;Segmento (alojamento turístico) (2) ;;;;
;Total;Hotelaria;Alojamento local;Turismo no espaço rural e de habitação;
;N.º ;N.º ;N.º ;N.º ;
PT: Portugal;1738402;1405786;272391;60225;
1: Continente;1557333;1249805;253545;53983;
2: Região Autónoma dos Açores;45640;38564;5610;1466;
3: Região Autónoma da Madeira;135429;117417;13236;4776;

Hóspedes (N.º) nos estabelecimentos de alojamento turístico por Localização geográfica (NUTS - 2013) e Segmento (alojamento turístico) -  Mensal - INE, Inquérito à permanência de hóspedes na hotelaria e outros alojamentos

Nota(s):
(1) Janeiro 2022 ? Outubro 2022 ? dados provisórios -  Novembro 2022 ? dados preliminares.

(2) Alojamento local com 10 ou mais camas.



Última atualização destes dados: 13 de janeiro de 2023


Metainformação associada ao quadro

Hóspedes (N.º) nos estabelecimentos de alojamento turístico
Designação;Hóspedes (N.º) nos estabelecimentos de alojamento turístico por Localização geográfica (NUTS - 2013) e Segmento (alojamento turístico) -  Mensal
Periodicidade;Mensal
Fonte;INE, Inquérito à permanência de hóspedes na hotelaria e outros alojamentos
Primeiro período disponível;Janeiro de 2020
Último período disponível;Novembro de 2022
Dimensões
     Dimensão 1;Período de referência dos dados (Mês)
     Dimensão 2;Localização geográfica (NUTS - 2013)
     Dimensão 3;Segmento (alojamento turístico)
Conceitos
     PERÍODO DE REFERÊNCIA;Período de tempo a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     HÓSPEDE;Indivíduo que efetua pelo menos uma dormida num estabelecimento de alojamento turístico.
     ALOJAMENTO TURÍSTICO;Tipo de alojamento para dormidas de turistas.
     ESTABELECIMENTO DE ALOJAMENTO TURÍSTICO;Estabelecimento que se destina a prestar serviços de curta duração mediante remuneração e funciona em um ou mais edifícios ou instalações.
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;13-Jan-2023
