,Date,Region1,Nb_passengers
6,Setembro de 2022,Portugal,2916061
7,Setembro de 2022,Lisboa,1418944
8,Setembro de 2022,Faro,481217
9,Setembro de 2022,Porto,633202
10,Setembro de 2022,Madeira,179162
11,Setembro de 2022,Jo,111807
12,Agosto de 2022,Portugal,3082908
13,Agosto de 2022,Lisboa,1449818
14,Agosto de 2022,Faro,504275
15,Agosto de 2022,Porto,654164
16,Agosto de 2022,Madeira,208210
17,Agosto de 2022,Jo,139905
18,Julho de 2022,Portugal,3232882
19,Julho de 2022,Lisboa,1502894
20,Julho de 2022,Faro,560018
21,Julho de 2022,Porto,703951
22,Julho de 2022,Madeira,204140
23,Julho de 2022,Jo,137464
24,Junho de 2022,Portugal,2878124
25,Junho de 2022,Lisboa,1377507
26,Junho de 2022,Faro,494817
27,Junho de 2022,Porto,618890
28,Junho de 2022,Madeira,183565
29,Junho de 2022,Jo,108554
30,Maio de 2022,Portugal,2700017
31,Maio de 2022,Lisboa,1284387
32,Maio de 2022,Faro,474906
33,Maio de 2022,Porto,601746
34,Maio de 2022,Madeira,181762
35,Maio de 2022,Jo,87386
36,Abril de 2022,Portugal,2515576
37,Abril de 2022,Lisboa,1205437
38,Abril de 2022,Faro,404475
39,Abril de 2022,Porto,577877
40,Abril de 2022,Madeira,183860
41,Abril de 2022,Jo,82550
42,Março de 2022,Portugal,1841627
43,Março de 2022,Lisboa,976361
44,Março de 2022,Faro,200568
45,Março de 2022,Porto,432775
46,Março de 2022,Madeira,129024
47,Março de 2022,Jo,57981
48,Fevereiro de 2022,Portugal,1337885
49,Fevereiro de 2022,Lisboa,727209
50,Fevereiro de 2022,Faro,126870
51,Fevereiro de 2022,Porto,316204
52,Fevereiro de 2022,Madeira,93487
53,Fevereiro de 2022,Jo,40529
54,Janeiro de 2022,Portugal,990310
55,Janeiro de 2022,Lisboa,582840
56,Janeiro de 2022,Faro,63583
57,Janeiro de 2022,Porto,208142
58,Janeiro de 2022,Madeira,68683
59,Janeiro de 2022,Jo,35611
60,Dezembro de 2021,Portugal,1411905
61,Dezembro de 2021,Lisboa,767190
62,Dezembro de 2021,Faro,92032
63,Dezembro de 2021,Porto,349970
64,Dezembro de 2021,Madeira,113136
65,Dezembro de 2021,Jo,51169
66,Novembro de 2021,Portugal,1497087
67,Novembro de 2021,Lisboa,835114
68,Novembro de 2021,Faro,119454
69,Novembro de 2021,Porto,341915
70,Novembro de 2021,Madeira,106180
71,Novembro de 2021,Jo,52058
72,Outubro de 2021,Portugal,1986377
73,Outubro de 2021,Lisboa,934618
74,Outubro de 2021,Faro,346696
75,Outubro de 2021,Porto,435364
76,Outubro de 2021,Madeira,136231
77,Outubro de 2021,Jo,74849
78,Setembro de 2021,Portugal,1782961
79,Setembro de 2021,Lisboa,819115
80,Setembro de 2021,Faro,297478
81,Setembro de 2021,Porto,382626
82,Setembro de 2021,Madeira,127193
83,Setembro de 2021,Jo,84903
84,Agosto de 2021,Portugal,1882393
85,Agosto de 2021,Lisboa,832586
86,Agosto de 2021,Faro,287809
87,Agosto de 2021,Porto,407676
88,Agosto de 2021,Madeira,150907
89,Agosto de 2021,Jo,105311
90,Julho de 2021,Portugal,1517376
91,Julho de 2021,Lisboa,655249
92,Julho de 2021,Faro,191924
93,Julho de 2021,Porto,376458
94,Julho de 2021,Madeira,121948
95,Julho de 2021,Jo,85758
96,Junho de 2021,Portugal,996318
97,Junho de 2021,Lisboa,435995
98,Junho de 2021,Faro,146362
99,Junho de 2021,Porto,225112
100,Junho de 2021,Madeira,73244
101,Junho de 2021,Jo,57040
102,Maio de 2021,Portugal,673941
103,Maio de 2021,Lisboa,294482
104,Maio de 2021,Faro,106383
105,Maio de 2021,Porto,152128
106,Maio de 2021,Madeira,51575
107,Maio de 2021,Jo,35700
108,Abril de 2021,Portugal,377532
109,Abril de 2021,Lisboa,189472
110,Abril de 2021,Faro,20183
111,Abril de 2021,Porto,86811
112,Abril de 2021,Madeira,27863
113,Abril de 2021,Jo,27779
114,Março de 2021,Portugal,222588
115,Março de 2021,Lisboa,100870
116,Março de 2021,Faro,6447
117,Março de 2021,Porto,50863
