,Region1,Date,Nb_passengers
0,Azores,2004,409411
1,Azores,2005,429010
2,Azores,2006,445792
3,Azores,2007,462587
4,Azores,2008,451729
5,Azores,2009,434823
6,Azores,2010,446391
7,Azores,2011,450039
8,Azores,2012,435142
9,Azores,2013,443589
10,Azores,2014,472778
11,Azores,2015,619767
12,Azores,2016,741597
13,Azores,2017,911364
14,Azores,2018,941805
15,Azores,2019,995677
16,Azores,2020,343935
17,Azores,2021,623967
18,Azores,2022,801787
19,Faro,2004,2256455
20,Faro,2005,2317218
21,Faro,2006,2490380
22,Faro,2007,2677209
23,Faro,2008,2669363
24,Faro,2009,2493490
25,Faro,2010,2633564
26,Faro,2011,2776223
27,Faro,2012,2806844
28,Faro,2013,2963916
29,Faro,2014,3053944
30,Faro,2015,3182403
31,Faro,2016,3783527
32,Faro,2017,4335963
33,Faro,2018,4302014
34,Faro,2019,4467053
35,Faro,2020,1077093
36,Faro,2021,1630261
37,Faro,2022,3310729
38,Lisboa,2004,5243954
39,Lisboa,2005,5512809
40,Lisboa,2006,6064005
41,Lisboa,2007,6611900
42,Lisboa,2008,6752976
43,Lisboa,2009,6600460
44,Lisboa,2010,7002051
45,Lisboa,2011,7391153
46,Lisboa,2012,7630647
47,Lisboa,2013,7999861
48,Lisboa,2014,9092464
49,Lisboa,2015,10066374
50,Lisboa,2016,11261085
51,Lisboa,2017,13387039
52,Lisboa,2018,14589172
53,Lisboa,2019,15653494
54,Lisboa,2020,4608553
55,Lisboa,2021,6116251
56,Lisboa,2022,10525397
57,Madeira,2004,1124661
58,Madeira,2005,1149153
59,Madeira,2006,1170905
60,Madeira,2007,1202969
61,Madeira,2008,1214122
62,Madeira,2009,1165616
63,Madeira,2010,1103147
64,Madeira,2011,1143828
65,Madeira,2012,1092242
66,Madeira,2013,1178547
67,Madeira,2014,1221710
68,Madeira,2015,1293960
69,Madeira,2016,1478563
70,Madeira,2017,1597769
71,Madeira,2018,1590530
72,Madeira,2019,1600396
73,Madeira,2020,549938
74,Madeira,2021,957490
75,Madeira,2022,1431893
76,Porto,2004,1435158
77,Porto,2005,1504715
78,Porto,2006,1646606
79,Porto,2007,1944214
80,Porto,2008,2232383
81,Porto,2009,2229606
82,Porto,2010,2609663
83,Porto,2011,2963976
84,Porto,2012,2987538
85,Porto,2013,3150224
86,Porto,2014,3418940
87,Porto,2015,4003902
88,Porto,2016,4655436
89,Porto,2017,5359258
90,Porto,2018,5927374
91,Porto,2019,6522895
92,Porto,2020,2202752
93,Porto,2021,2913797
94,Porto,2022,4746951
