,Type,Date,Value
0,Hotelaria,Dezembro de 2021,2067266
1,Hotelaria,Novembro de 2021,2936910
2,Hotelaria,Outubro de 2021,4568205
3,Hotelaria,Setembro de 2021,4592006
4,Hotelaria,Agosto de 2021,6077677
5,Hotelaria,Julho de 2021,3626040
6,Hotelaria,Junho de 2021,2739561
7,Hotelaria,Maio de 2021,1600587
8,Hotelaria,Abril de 2021,683229
9,Hotelaria,Março de 2021,446347
10,Hotelaria,Fevereiro de 2021,328602
11,Hotelaria,Janeiro de 2021,520662
12,Hotelaria,Dezembro de 2020,745190
13,Hotelaria,Novembro de 2020,714049
14,Hotelaria,Outubro de 2020,1864960
15,Hotelaria,Setembro de 2020,2876245
16,Hotelaria,Agosto de 2020,4055883
17,Hotelaria,Julho de 2020,2053037
18,Hotelaria,Junho de 2020,753834
19,Hotelaria,Maio de 2020,177793
20,Hotelaria,Abril de 2020,91101
21,Hotelaria,Março de 2020,1581993
22,Hotelaria,Fevereiro de 2020,3249008
23,Hotelaria,Janeiro de 2020,2766138
24,Hotelaria,Dezembro de 2019,2895156
25,Hotelaria,Novembro de 2019,3392912
26,Hotelaria,Outubro de 2019,5313807
27,Hotelaria,Setembro de 2019,6285195
28,Hotelaria,Agosto de 2019,7809472
29,Hotelaria,Julho de 2019,6738568
30,Hotelaria,Junho de 2019,5923355
31,Hotelaria,Maio de 2019,5450876
32,Hotelaria,Abril de 2019,4980206
33,Hotelaria,Março de 2019,3867246
34,Hotelaria,Fevereiro de 2019,2814239
35,Hotelaria,Janeiro de 2019,2522545
36,Hotelaria,Dezembro de 2018,2728297
37,Hotelaria,Novembro de 2018,3210964
38,Hotelaria,Outubro de 2018,5287621
39,Hotelaria,Setembro de 2018,6161410
40,Hotelaria,Agosto de 2018,7701098
41,Hotelaria,Julho de 2018,6653493
42,Hotelaria,Junho de 2018,5706482
43,Hotelaria,Maio de 2018,5354207
44,Hotelaria,Abril de 2018,4582828
45,Hotelaria,Março de 2018,3915676
46,Hotelaria,Fevereiro de 2018,2845097
47,Hotelaria,Janeiro de 2018,2414132
48,Hotelaria,Dezembro de 2017,2626799
49,Hotelaria,Novembro de 2017,3018800
50,Hotelaria,Outubro de 2017,5214118
51,Hotelaria,Setembro de 2017,6129458
52,Hotelaria,Agosto de 2017,7637459
53,Hotelaria,Julho de 2017,6694924
54,Hotelaria,Junho de 2017,5783995
55,Hotelaria,Maio de 2017,5202778
56,Hotelaria,Abril de 2017,4938560
57,Hotelaria,Março de 2017,3507249
58,Hotelaria,Fevereiro de 2017,2675899
59,Hotelaria,Janeiro de 2017,2304534
60,Alojamento local,Dezembro de 2021,399177
61,Alojamento local,Novembro de 2021,511061
62,Alojamento local,Outubro de 2021,702186
63,Alojamento local,Setembro de 2021,743588
64,Alojamento local,Agosto de 2021,984660
65,Alojamento local,Julho de 2021,630097
66,Alojamento local,Junho de 2021,466229
67,Alojamento local,Maio de 2021,299346
68,Alojamento local,Abril de 2021,176434
69,Alojamento local,Março de 2021,137483
70,Alojamento local,Fevereiro de 2021,113348
71,Alojamento local,Janeiro de 2021,142946
72,Alojamento local,Dezembro de 2020,161592
73,Alojamento local,Novembro de 2020,167337
74,Alojamento local,Outubro de 2020,321578
75,Alojamento local,Setembro de 2020,462181
76,Alojamento local,Agosto de 2020,662942
77,Alojamento local,Julho de 2020,357682
78,Alojamento local,Junho de 2020,169185
79,Alojamento local,Maio de 2020,65084
80,Alojamento local,Abril de 2020,37286
81,Alojamento local,Março de 2020,256014
82,Alojamento local,Fevereiro de 2020,481678
83,Alojamento local,Janeiro de 2020,432683
84,Alojamento local,Dezembro de 2019,539947
85,Alojamento local,Novembro de 2019,593091
86,Alojamento local,Outubro de 2019,895751
87,Alojamento local,Setembro de 2019,1111275
88,Alojamento local,Agosto de 2019,1422773
89,Alojamento local,Julho de 2019,1216781
90,Alojamento local,Junho de 2019,1041015
91,Alojamento local,Maio de 2019,944135
92,Alojamento local,Abril de 2019,843605
93,Alojamento local,Março de 2019,644414
94,Alojamento local,Fevereiro de 2019,488542
95,Alojamento local,Janeiro de 2019,459283
96,Alojamento local,Dezembro de 2018,450779
97,Alojamento local,Novembro de 2018,510120
98,Alojamento local,Outubro de 2018,815776
99,Alojamento local,Setembro de 2018,968976
100,Alojamento local,Agosto de 2018,1225970
101,Alojamento local,Julho de 2018,1061938
102,Alojamento local,Junho de 2018,863540
103,Alojamento local,Maio de 2018,791439
104,Alojamento local,Abril de 2018,669088
105,Alojamento local,Março de 2018,565159
