,Type,Earnings,month,year
0,Hotelaria,2067266,December, 2021
1,Hotelaria,2936910,November, 2021
2,Hotelaria,4568205,October, 2021
3,Hotelaria,4592006,September, 2021
4,Hotelaria,6077677,August, 2021
5,Hotelaria,3626040,July, 2021
6,Hotelaria,2739561,June, 2021
7,Hotelaria,1600587,May, 2021
8,Hotelaria,683229,April, 2021
9,Hotelaria,446347,March, 2021
10,Hotelaria,328602,February, 2021
11,Hotelaria,520662,January, 2021
12,Hotelaria,745190,December, 2020
13,Hotelaria,714049,November, 2020
14,Hotelaria,1864960,October, 2020
15,Hotelaria,2876245,September, 2020
16,Hotelaria,4055883,August, 2020
17,Hotelaria,2053037,July, 2020
18,Hotelaria,753834,June, 2020
19,Hotelaria,177793,May, 2020
20,Hotelaria,91101,April, 2020
21,Hotelaria,1581993,March, 2020
22,Hotelaria,3249008,February, 2020
23,Hotelaria,2766138,January, 2020
24,Hotelaria,2895156,December, 2019
25,Hotelaria,3392912,November, 2019
26,Hotelaria,5313807,October, 2019
27,Hotelaria,6285195,September, 2019
28,Hotelaria,7809472,August, 2019
29,Hotelaria,6738568,July, 2019
30,Hotelaria,5923355,June, 2019
31,Hotelaria,5450876,May, 2019
32,Hotelaria,4980206,April, 2019
33,Hotelaria,3867246,March, 2019
34,Hotelaria,2814239,February, 2019
35,Hotelaria,2522545,January, 2019
36,Hotelaria,2728297,December, 2018
37,Hotelaria,3210964,November, 2018
38,Hotelaria,5287621,October, 2018
39,Hotelaria,6161410,September, 2018
40,Hotelaria,7701098,August, 2018
41,Hotelaria,6653493,July, 2018
42,Hotelaria,5706482,June, 2018
43,Hotelaria,5354207,May, 2018
44,Hotelaria,4582828,April, 2018
45,Hotelaria,3915676,March, 2018
46,Hotelaria,2845097,February, 2018
47,Hotelaria,2414132,January, 2018
48,Hotelaria,2626799,December, 2017
49,Hotelaria,3018800,November, 2017
50,Hotelaria,5214118,October, 2017
51,Hotelaria,6129458,September, 2017
52,Hotelaria,7637459,August, 2017
53,Hotelaria,6694924,July, 2017
54,Hotelaria,5783995,June, 2017
55,Hotelaria,5202778,May, 2017
56,Hotelaria,4938560,April, 2017
57,Hotelaria,3507249,March, 2017
58,Hotelaria,2675899,February, 2017
59,Hotelaria,2304534,January, 2017
60,Alojamento local,399177,December, 2021
61,Alojamento local,511061,November, 2021
62,Alojamento local,702186,October, 2021
63,Alojamento local,743588,September, 2021
64,Alojamento local,984660,August, 2021
65,Alojamento local,630097,July, 2021
66,Alojamento local,466229,June, 2021
67,Alojamento local,299346,May, 2021
68,Alojamento local,176434,April, 2021
69,Alojamento local,137483,March, 2021
70,Alojamento local,113348,February, 2021
71,Alojamento local,142946,January, 2021
72,Alojamento local,161592,December, 2020
73,Alojamento local,167337,November, 2020
74,Alojamento local,321578,October, 2020
75,Alojamento local,462181,September, 2020
76,Alojamento local,662942,August, 2020
77,Alojamento local,357682,July, 2020
78,Alojamento local,169185,June, 2020
79,Alojamento local,65084,May, 2020
80,Alojamento local,37286,April, 2020
81,Alojamento local,256014,March, 2020
82,Alojamento local,481678,February, 2020
83,Alojamento local,432683,January, 2020
84,Alojamento local,539947,December, 2019
85,Alojamento local,593091,November, 2019
86,Alojamento local,895751,October, 2019
87,Alojamento local,1111275,September, 2019
88,Alojamento local,1422773,August, 2019
89,Alojamento local,1216781,July, 2019
90,Alojamento local,1041015,June, 2019
91,Alojamento local,944135,May, 2019
92,Alojamento local,843605,April, 2019
93,Alojamento local,644414,March, 2019
94,Alojamento local,488542,February, 2019
95,Alojamento local,459283,January, 2019
96,Alojamento local,450779,December, 2018
97,Alojamento local,510120,November, 2018
98,Alojamento local,815776,October, 2018
99,Alojamento local,968976,September, 2018
100,Alojamento local,1225970,August, 2018
101,Alojamento local,1061938,July, 2018
102,Alojamento local,863540,June, 2018
103,Alojamento local,791439,May, 2018
104,Alojamento local,669088,April, 2018
105,Alojamento local,565159,March, 2018
106,Alojamento local,420187,February, 2018
107,Alojamento local,381419,January, 2018
108,Alojamento local,413000,December, 2017
109,Alojamento local,455018,November, 2017
110,Alojamento local,718348,October, 2017
111,Alojamento local,860672,September, 2017
112,Alojamento local,1037829,August, 2017
113,Alojamento local,899661,July, 2017
114,Alojamento local,763924,June, 2017
115,Alojamento local,665439,May, 2017
116,Alojamento local,619423,April, 2017
117,Alojamento local,440436,March, 2017
118,Alojamento local,346405,February, 2017
119,Alojamento local,311023,January, 2017
120,Turismo no espaço rural e de habitação,98131,December, 2021
121,Turismo no espaço rural e de habitação,108789,November, 2021
122,Turismo no espaço rural e de habitação,198569,October, 2021
123,Turismo no espaço rural e de habitação,249919,September, 2021
124,Turismo no espaço rural e de habitação,444935,August, 2021
125,Turismo no espaço rural e de habitação,282506,July, 2021
126,Turismo no espaço rural e de habitação,196002,June, 2021
127,Turismo no espaço rural e de habitação,124277,May, 2021
128,Turismo no espaço rural e de habitação,61365,April, 2021
129,Turismo no espaço rural e de habitação,31897,March, 2021
130,Turismo no espaço rural e de habitação,17954,February, 2021
131,Turismo no espaço rural e de habitação,24431,January, 2021
132,Turismo no espaço rural e de habitação,46600,December, 2020
133,Turismo no espaço rural e de habitação,38672,November, 2020
134,Turismo no espaço rural e de habitação,113719,October, 2020
135,Turismo no espaço rural e de habitação,195924,September, 2020
136,Turismo no espaço rural e de habitação,363524,August, 2020
137,Turismo no espaço rural e de habitação,220542,July, 2020
138,Turismo no espaço rural e de habitação,108043,June, 2020
139,Turismo no espaço rural e de habitação,18716,May, 2020
140,Turismo no espaço rural e de habitação,4825,April, 2020
141,Turismo no espaço rural e de habitação,37499,March, 2020
142,Turismo no espaço rural e de habitação,86357,February, 2020
143,Turismo no espaço rural e de habitação,59405,January, 2020
144,Turismo no espaço rural e de habitação,80837,December, 2019
145,Turismo no espaço rural e de habitação,85965,November, 2019
146,Turismo no espaço rural e de habitação,149127,October, 2019
147,Turismo no espaço rural e de habitação,228104,September, 2019
148,Turismo no espaço rural e de habitação,401182,August, 2019
149,Turismo no espaço rural e de habitação,275881,July, 2019
150,Turismo no espaço rural e de habitação,213184,June, 2019
151,Turismo no espaço rural e de habitação,162829,May, 2019
152,Turismo no espaço rural e de habitação,157489,April, 2019
153,Turismo no espaço rural e de habitação,95262,March, 2019
154,Turismo no espaço rural e de habitação,62459,February, 2019
155,Turismo no espaço rural e de habitação,52456,January, 2019
156,Turismo no espaço rural e de habitação,77754,December, 2018
157,Turismo no espaço rural e de habitação,70526,November, 2018
158,Turismo no espaço rural e de habitação,147317,October, 2018
159,Turismo no espaço rural e de habitação,212241,September, 2018
160,Turismo no espaço rural e de habitação,365672,August, 2018
161,Turismo no espaço rural e de habitação,259090,July, 2018
162,Turismo no espaço rural e de habitação,173181,June, 2018
163,Turismo no espaço rural e de habitação,156428,May, 2018
164,Turismo no espaço rural e de habitação,122696,April, 2018
165,Turismo no espaço rural e de habitação,90284,March, 2018
166,Turismo no espaço rural e de habitação,67386,February, 2018
167,Turismo no espaço rural e de habitação,48188,January, 2018
168,Turismo no espaço rural e de habitação,79882,December, 2017
169,Turismo no espaço rural e de habitação,63672,November, 2017
170,Turismo no espaço rural e de habitação,138919,October, 2017
171,Turismo no espaço rural e de habitação,204563,September, 2017
172,Turismo no espaço rural e de habitação,346368,August, 2017
173,Turismo no espaço rural e de habitação,247071,July, 2017
174,Turismo no espaço rural e de habitação,168453,June, 2017
175,Turismo no espaço rural e de habitação,133812,May, 2017
176,Turismo no espaço rural e de habitação,148148,April, 2017
177,Turismo no espaço rural e de habitação,68090,March, 2017
