Year,Type,Value
2017,Alojamento local,262953
2017,Hotelaria,3323544
2017,Turismo no espaço rural e de habitação,94711
2018,Alojamento local,312871
2018,Hotelaria,3569785
2018,Turismo no espaço rural e de habitação,103898
2019,Alojamento local,381636
2019,Hotelaria,3795472
2019,Turismo no espaço rural e de habitação,118712
2020,Alojamento local,122347
2020,Hotelaria,1240128
2020,Turismo no espaço rural e de habitação,83208
2021,Alojamento local,199774
2021,Hotelaria,2002897
2021,Turismo no espaço rural e de habitação,127602
2022,Alojamento local,374408
2022,Hotelaria,3103992
2022,Turismo no espaço rural e de habitação,146917
