,Date,Type,Value,Month,Year
0,Novembro/2022,Hotelaria,184012,Novembro,2022
1,Novembro/2022,Alojamento local,23459,Novembro,2022
2,Novembro/2022,Turismo no espaço rural e de habitação,6734,Novembro,2022
3,Outubro/2022,Hotelaria,319412,Outubro,2022
4,Outubro/2022,Alojamento local,38360,Outubro,2022
5,Outubro/2022,Turismo no espaço rural e de habitação,12812,Outubro,2022
6,Setembro/2022,Hotelaria,403906,Setembro,2022
7,Setembro/2022,Alojamento local,47889,Setembro,2022
8,Setembro/2022,Turismo no espaço rural e de habitação,18694,Setembro,2022
9,Agosto/2022,Hotelaria,539154,Agosto,2022
10,Agosto/2022,Alojamento local,65413,Agosto,2022
11,Agosto/2022,Turismo no espaço rural e de habitação,32389,Agosto,2022
12,Julho/2022,Hotelaria,457225,Julho,2022
13,Julho/2022,Alojamento local,54523,Julho,2022
14,Julho/2022,Turismo no espaço rural e de habitação,22849,Julho,2022
15,Junho/2022,Hotelaria,357678,Junho,2022
16,Junho/2022,Alojamento local,41567,Junho,2022
17,Junho/2022,Turismo no espaço rural e de habitação,16305,Junho,2022
18,Maio/2022,Hotelaria,292345,Maio,2022
19,Maio/2022,Alojamento local,34189,Maio,2022
20,Maio/2022,Turismo no espaço rural e de habitação,12298,Maio,2022
21,Abril/2022,Hotelaria,248732,Abril,2022
22,Abril/2022,Alojamento local,28734,Abril,2022
23,Abril/2022,Turismo no espaço rural e de habitação,11368,Abril,2022
24,Março/2022,Hotelaria,144051,Março,2022
25,Março/2022,Alojamento local,18670,Março,2022
26,Março/2022,Turismo no espaço rural e de habitação,5694,Março,2022
27,Fevereiro/2022,Hotelaria,93669,Fevereiro,2022
28,Fevereiro/2022,Alojamento local,12627,Fevereiro,2022
29,Fevereiro/2022,Turismo no espaço rural e de habitação,4487,Fevereiro,2022
30,Janeiro/2022,Hotelaria,63808,Janeiro,2022
31,Janeiro/2022,Alojamento local,8977,Janeiro,2022
32,Janeiro/2022,Turismo no espaço rural e de habitação,3287,Janeiro,2022
0,Dezembro/2021,Hotelaria,132228,Dezembro,2021
1,Novembro/2021,Hotelaria,185160,Novembro,2021
2,Outubro/2021,Hotelaria,295076,Outubro,2021
3,Setembro/2021,Hotelaria,309314,Setembro,2021
4,Agosto/2021,Hotelaria,444303,Agosto,2021
5,Julho/2021,Hotelaria,249503,Julho,2021
6,Junho/2021,Hotelaria,180855,Junho,2021
7,Maio/2021,Hotelaria,105956,Maio,2021
8,Abril/2021,Hotelaria,37884,Abril,2021
9,Março/2021,Hotelaria,20995,Março,2021
10,Fevereiro/2021,Hotelaria,14634,Fevereiro,2021
11,Janeiro/2021,Hotelaria,26989,Janeiro,2021
12,Dezembro/2020,Hotelaria,45292,Dezembro,2020
13,Novembro/2020,Hotelaria,39181,Novembro,2020
14,Outubro/2020,Hotelaria,105666,Outubro,2020
15,Setembro/2020,Hotelaria,173731,Setembro,2020
16,Agosto/2020,Hotelaria,273701,Agosto,2020
17,Julho/2020,Hotelaria,131215,Julho,2020
18,Junho/2020,Hotelaria,40986,Junho,2020
19,Maio/2020,Hotelaria,6960,Maio,2020
20,Abril/2020,Hotelaria,3410,Abril,2020
21,Março/2020,Hotelaria,87898,Março,2020
22,Fevereiro/2020,Hotelaria,174634,Fevereiro,2020
23,Janeiro/2020,Hotelaria,157454,Janeiro,2020
24,Dezembro/2019,Hotelaria,181357,Dezembro,2019
25,Novembro/2019,Hotelaria,204789,Novembro,2019
26,Outubro/2019,Hotelaria,348442,Outubro,2019
27,Setembro/2019,Hotelaria,442038,Setembro,2019
28,Agosto/2019,Hotelaria,554823,Agosto,2019
29,Julho/2019,Hotelaria,469098,Julho,2019
30,Junho/2019,Hotelaria,413087,Junho,2019
31,Maio/2019,Hotelaria,362624,Maio,2019
